ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
304	3.7二选一	{2,2}	0	{202601010400,202612010400}		287	6	2	60040	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{80,{2,1,33,1}},{82,{2,4,32,1}}}	404	{"90004_sure1","90004_sure2","90004_sure3","90004_sure4"}								120
104	【特选】辉夜UP池【安卡希雅-辉夜】	{1,2}	0	{202405011000,202405300400}		300	2	1	20003	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"20003_detailtitle1","20003_detaildes11","20003_detaildes12","20003_detaildes13","20003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20003_detaildes23","20003_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool004'}	{100,{{'pool004',6}}}	{100,{'pool004',6}}	3	10011	{{'pool001',4},{'pool004',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
105	【特选】辉夜专武UP池【松林极光】	{2,2}	0	{202405011000,202405300400}		299	2	1	20004	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"20004_detailtitle1","20004_detaildes11","20004_detaildes12","20004_detaildes13","20004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20004_detaildes23","20004_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool005'}	{80,{{'pool005',6}}}	{80,{'pool005',6}}	4	10012	{{'pool002',4},{'pool005',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
107	【特选】云篆UP池【辰星-云篆】	{1,2}	0	{202408221000,202409120400}		297	2	1	20006	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"20006_detailtitle1","20006_detaildes11","20006_detaildes12","20006_detaildes13","20006_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20006_detaildes23","20006_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl014a','/Game/Spine/Hero/Girl014a/GachaGirl_014a.GachaGirl_014a',0.3,{0,0},{0,0},{1.2,1},1602075,{1,14,2,1},2,3059}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool007'}	{100,{{'pool007',6}}}	{100,{'pool007',6}}	3	10011	{{'pool001',4},{'pool007',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
108	【特选】云篆专武UP池【朱书断邪】	{2,2}	0	{202408221000,202409120400}		296	2	1	20007	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"20007_detailtitle1","20007_detaildes11","20007_detaildes12","20007_detaildes13","20007_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20007_detaildes23","20007_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_51506',1602108, {2,5,22,1},10.1,3058,13,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool008'}	{80,{{'pool008',6}}}	{80,{'pool008',6}}	4	10012	{{'pool002',4},{'pool008',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_51506.weapon_51506				120
110	【特选】藏锋UP池【晴-藏锋】	{1,2}	0	{202405011000,202405300400}		303	2	1	20009	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"20009_detailtitle1","20009_detaildes11","20009_detaildes12","20009_detaildes13","20009_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20009_detaildes23","20009_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl006a','/Game/Spine/Hero/Girl006a/GachaGirl_006a.GachaGirl_006a',0.3,{0,0},{0,0},{1.2,1},1602151,{1,6,2,1},1,3063}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool010'}	{100,{{'pool010',6}}}	{100,{'pool010',6}}	3	10011	{{'pool001',4},{'pool010',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
111	【特选】藏锋专武UP池【普赛克16】	{2,2}	0	{202405011000,202405300400}		302	2	1	20010	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"20010_detailtitle1","20010_detaildes11","20010_detaildes12","20010_detaildes13","20010_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20010_detaildes23","20010_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42051',1602174, {2,4,20,1},7.5,3062,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool011'}	{80,{{'pool011',6}}}	{80,{'pool011',6}}	4	10012	{{'pool002',4},{'pool011',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_42051.weapon_42051				120
113	【特选】溯影UP池【猫汐尔-溯影】	{1,2}	0	{202411071000,202412190400}		306	2	1	20012	{{"90001_detailtitle4","90001_detaildes41","90001_detaildes42"},{"20012_detailtitle1","20012_detaildes11","20012_detaildes12","20012_detaildes13","20012_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20012_detaildes23","20012_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl012a','/Game/Spine/Hero/Girl012a/GachaGirl_012a.GachaGirl_012a',0.3,{0,0},{0,0},{1.2,1},1602181,{1,12,2,1},3,3066}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool013'}	{100,{{'pool013',6}}}	{100,{'pool013',6}}	3	10011	{{'pool001',4},{'pool013',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
114	【特选】溯影专武UP池【合金真理】	{2,2}	0	{202411071000,202412190400}		305	2	1	20013	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"20013_detailtitle1","20013_detaildes11","20013_detaildes12","20013_detaildes13","20013_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20013_detaildes23","20013_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_13502',1602191, {2,1,25,1},10,3064,12,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool014'}	{80,{{'pool014',6}}}	{80,{'pool014',6}}	4	10012	{{'pool002',4},{'pool014',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_13502.weapon_13502				120
115	【特选】苔丝UP池【苔丝-魔术师】	{1,2}	0	{202405011000,202405300400}		308	2	1	20014	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"20014_detailtitle1","20014_detaildes11","20014_detaildes12","20014_detaildes13","20014_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20014_detaildes23","20014_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl017','/Game/Spine/Hero/Girl017/GachaGirl_017.GachaGirl_017',0.3,{0,0},{0,0},{1.2,1},1602242,{1,17,1,1},1,3067}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool015'}	{100,{{'pool015',6}}}	{100,{'pool015',6}}	3	10011	{{'pool001',4},{'pool015',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
116	【特选】苔丝专武UP池【王牌怪诞】	{2,2}	0	{202405011000,202405300400}		307	2	1	20015	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"20015_detailtitle1","20015_detaildes11","20015_detaildes12","20015_detaildes13","20015_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20015_detaildes23","20015_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_22502',1602245, {2,2,22,1},11,3068,13,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool016'}	{80,{{'pool016',6}}}	{80,{'pool016',6}}	4	10012	{{'pool002',4},{'pool016',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_22502.weapon_22502				120
117	【特选】凯茜娅UP池【凯茜娅-蓝闪】	{1,2}	0	{202503061000,202503270400}		310	2	1	20016	{{"20016_detailtitle1","20016_detaildes11","20016_detaildes12","20016_detaildes13","20016_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20016_detaildes23","20016_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl015a','/Game/Spine/Hero/Girl015/GachaGirl_015.GachaGirl_015',0.3,{0,0},{0,0},{1.2,1},1602267,{1,15,1,1},3,3070}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool017'}	{100,{{'pool017',6}}}	{100,{'pool017',6}}	3	10011	{{'pool001',4},{'pool017',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
118	【特选】凯茜娅专武UP池【海王星】	{2,2}	0	{202503061000,202503270400}		309	2	1	20017	{{"20017_detailtitle1","20017_detaildes11","20017_detaildes12","20017_detaildes13","20017_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20017_detaildes23","20017_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_61501',1602270, {2,6,4,1},9,3071,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002_18','pool018'}	{80,{{'pool018',6}}}	{80,{'pool018',6}}	4	10012	{{'pool002_18',4},{'pool018',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1					120
119	【特选】伊切尔UP池【伊切尔-豹豹】	{1,2}	0	{202412191000,202501090400}		314	2	1	20018	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"20018_detailtitle1","20018_detaildes11","20018_detaildes12","20018_detaildes13","20018_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20018_detaildes23","20018_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl016','/Game/Spine/Hero/Girl016/GachaGirl_016.GachaGirl_016',0.3,{0,0},{0,0},{1.2,1},1602297,{1,16,1,1},3,3074}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool019'}	{100,{{'pool019',6}}}	{100,{'pool019',6}}	3	10011	{{'pool001',4},{'pool019',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
120	【特选】伊切尔专武UP池【镭射风虎】	{2,2}	0	{202412191000,202501090400}		313	2	1	20019	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"20019_detailtitle1","20019_detaildes11","20019_detaildes12","20019_detaildes13","20019_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20019_detaildes23","20019_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31503',1602299, {2,3,24,1},8,3073,10,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool020'}	{80,{{'pool020',6}}}	{80,{'pool020',6}}	4	10012	{{'pool002',4},{'pool020',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_31503.weapon_31503				120
123	【特选】悖谬UP池【琴诺-悖谬】	{1,2}	0	{202405011000,202405300400}		320	2	1	20023	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"20023_detailtitle1","20023_detaildes11","20023_detaildes12","20023_detaildes13","20023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20023_detaildes23","20023_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool021'}	{100,{{'pool021',6}}}	{100,{'pool021',6}}	3	10011	{{'pool001',4},{'pool021',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
124	【特选】悖谬专武UP池【白夜别诗】	{2,2}	0	{202405011000,202405300400}		319	2	1	20024	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"20024_detailtitle1","20024_detaildes11","20024_detaildes12","20024_detaildes13","20024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20024_detaildes23","20024_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool022'}	{80,{{'pool022',6}}}	{80,{'pool022',6}}	4	10012	{{'pool002',4},{'pool022',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_12502.weapon_12502				120
125	【特选】羽蜕UP池【恩雅-羽蜕】	{1,2}	0	{202405011000,202405300400}		318	2	1	20025	{{"90001_detailtitle4","90001_detaildes41","90001_detaildes42"},{"20025_detailtitle1","20025_detaildes11","20025_detaildes12","20025_detaildes13","20025_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20025_detaildes23","20025_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl011a','/Game/Spine/Hero/Girl011a/GachaGirl_011a.GachaGirl_011a',0.3,{0,0},{0,0},{1.2,1},1602329,{1,11,2,1},3,3077}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool023'}	{100,{{'pool023',6}}}	{100,{'pool023',6}}	3	10011	{{'pool001',4},{'pool023',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
126	【特选】羽蜕专武UP池【渊光】	{2,2}	0	{202405011000,202405300400}		317	2	1	20026	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"20026_detailtitle1","20026_detaildes11","20026_detaildes12","20026_detaildes13","20026_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20026_detaildes23","20026_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42504',1602327, {2,4,26,1},10,3078,12,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool024'}	{80,{{'pool024',6}}}	{80,{'pool024',6}}	4	10012	{{'pool002',4},{'pool024',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_42504.weapon_42504				120
127	【特选】瞬刻UP池【瑟瑞斯-瞬刻】	{1,2}	0	{202410170400,202411070400}		322	2	1	20027	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"20027_detailtitle1","20027_detaildes11","20027_detaildes12","20027_detaildes13","20027_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20027_detaildes23","20027_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl013a','/Game/Spine/Hero/Girl013a/GachaGirl_013a.GachaGirl_013a',0.3,{0,0},{0,0},{1.2,1},1602371,{1,13,2,1},3,3082}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool025'}	{100,{{'pool025',6}}}	{100,{'pool025',6}}	3	10011	{{'pool001',4},{'pool025',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
128	【特选】瞬刻专武UP池【王权连枷】	{2,2}	0	{202410170400,202411070400}		321	2	1	20028	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"20028_detailtitle1","20028_detaildes11","20028_detaildes12","20028_detaildes13","20028_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20028_detaildes23","20028_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_32504',1602370, {2,3,26,1},9,3083,10.24,0.1,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool026'}	{80,{{'pool026',6}}}	{80,{'pool026',6}}	4	10012	{{'pool002',4},{'pool026',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_32504.weapon_32504				120
129	【特选】里芙新换装UP池【里芙-无限之视】	{1,2}	0	{202411281000,202412190400}		328	2	1	20029	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"20029_detailtitle1","20029_detaildes11","20029_detaildes12","20029_detaildes13","20029_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20029_detaildes23","20029_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl002b','/Game/Spine/Hero/Girl002b/GachaGirl_002b.GachaGirl_002b',0.3,{0,0},{0,0},{1.2,1},1602398,{1,2,3,1},1,3086}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool027'}	{100,{{'pool027',6}}}	{100,{'pool027',6}}	3	10011	{{'pool001',4},{'pool027',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
130	【特选】里芙新换装专武UP池【九夜之冕】	{2,2}	0	{202411281000,202412190400}		327	2	1	20030	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"20030_detailtitle1","20030_detaildes11","20030_detaildes12","20030_detaildes13","20030_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20030_detaildes23","20030_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_71501',1602402, {2,7,3,1},8,3087,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002_28','pool028'}	{80,{{'pool028',6}}}	{80,{'pool028',6}}	4	10012	{{'pool002_28',4},{'pool028',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_71501.weapon_71501				120
131	【特选】芬妮新换装UP池【芬妮-辉耀】	{1,2}	0	{202409260400,202410170400}		326	2	1	20031	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"20031_detailtitle1","20031_detaildes11","20031_detaildes12","20031_detaildes13","20031_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20031_detaildes23","20031_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl008b','/Game/Spine/Hero/Girl008b/GachaGirl_008b.GachaGirl_008b',0.3,{0,0},{0,0},{1.2,1},1602399,{1,8,3,1},1,3088}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool029'}	{100,{{'pool029',6}}}	{100,{'pool029',6}}	3	10011	{{'pool001',4},{'pool029',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}									1					120
132	【特选】芬妮新换装专武UP池【捕心先锋】	{2,2}	0	{202409260400,202410170400}		325	2	1	20032	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"20032_detailtitle1","20032_detaildes11","20032_detaildes12","20032_detaildes13","20032_detaildes14"},{"10004_detailtitle2","10004_detaildes21","20032_detaildes23","20032_detaildes25","10004_detaildes22_1","10004_detaildes24_1","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon 51507',1602427, {2,5,24,1},8,3089,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool002','pool030'}	{80,{{'pool030',6}}}	{80,{'pool030',6}}	4	10012	{{'pool002',4},{'pool030',6}}	10014	0	{8,{4,5000},{3,2}}	{60,{6,500},{3,2}}				{{5,{0.1,1.58}},{4,{8,14.68}},{3,{91.9,83.74}}}									1	/Game/Spine/Weapon/weapon_51507.weapon_51507				120
133	【特选】2.5周年特殊自选池-角色	{1,2}	0	{202501230400,202503060400}		324	4	1	20033	{{"20003_detailtitle1","20003_detaildes11","20003_detaildes12","20003_detaildes13","20003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","20003_detaildes23","20003_detaildes25","10003_detaildes22_1","10003_detaildes24_1","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool001','pool023'}	{100,{{'pool015',6}}}	{100,{'pool015',6}}	3	10011	{{'pool001',4},{'pool025',6}}	10013	0	{8,{4,5000},{3,2}}	{70,{6,75},{3,2}}				{{5,{0.1,1.24}},{4,{8,14.68}},{3,{91.9,84.08}}}				{{104,{1,1,2,1}},{107,{1,14,2,1}},{110,{1,6,2,1}},{113,{1,12,2,1}},{115,{1,17,1,1}},{117,{1,15,1,1}},{119,{1,16,1,1}},{123,{1,7,2,1}},{125,{1,11,2,1}},{127,{1,13,2,1}},{129,{1,2,3,1}},{131,{1,8,3,1}},{137,{1,18,1,1}}}	33	{"10033_sure1","10033_sure2","10033_sure3","10033_sure4"}			1					120
