商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
4	602				com.kingsoft.bundle118	com.kingsoft.bundle118	com.kingsoft.bundle118	里芙-宵宴绯盏（皮肤）	5	{7,2,2,2,1}		4	1	{100,128}	{1,128}										[202601290400]	[202603120400]					22				5
																																			
9	1050				com.kingsoft.bundle55	com.kingsoft.bundle55	com.kingsoft.bundle55	捆绑包（安卡希雅-时之重奏【缘音回响】+互动+武器皮）	5	{4,8,41,1,1}		4	1	{100,226}	{1,226}			1601263		1601262		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					1		{667,864,842}	576	
9	1051				com.kingsoft.bundle13	com.kingsoft.bundle13	com.kingsoft.bundle13	捆绑包（茉莉安-霄鹰【纯白恋羽】+互动+武器皮）	5	{4,8,42,1,1}		4	1	{100,226}	{1,226}			1601261		1601252		83.5	[202602121000]	[202603120400]	[202602121000]	[202603120400]					2		{668,865,843}	577	
9	1052				com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	捆绑包（瑟瑞斯-悠游【霄倾君怀】+武器皮）	5	{4,8,43,1,1}		4	1	{100,156}	{1,156}			1601254		1601253		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					3		{669,844}	578	
9	1053				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	捆绑包（米娅-星彩【祥云徜戏】+武器皮）	5	{4,8,44,1,1}		4	1	{100,156}	{1,156}			1601256		1601255		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4		{670,845}	579	
9	1031				com.kingsoft.bundle34	com.kingsoft.bundle34	com.kingsoft.bundle34	捆绑包（凯茜娅-狂诗-星抚恋音+互动+武器皮）	5	{4,8,23,1,1}		4	1	{100,226}	{1,226}			1601183		1601184		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5		{648,859,825}	581	
9	1032				com.kingsoft.bundle77	com.kingsoft.bundle77	com.kingsoft.bundle77	捆绑包（苔丝-绮幻-恋如花舞+互动+武器皮）	5	{4,8,24,1,1}		4	1	{100,226}	{1,226}			1601191		1601192		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6		{649,860,826}	582	
9	1017				com.kingsoft.bundle78	com.kingsoft.bundle78	com.kingsoft.bundle78	捆绑包（辰星-琼弦-欣描红妆+互动情景+武器皮）	5	{4,8,11,1,1}		4	1	{100,226}	{1,226}			1601154		1601155		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					7		{636,855,812}	583	
9	1020				com.kingsoft.bundle79	com.kingsoft.bundle79	com.kingsoft.bundle79	捆绑包（肴-夜天光-暖夜情醺+互动情景·暖夜恒约+春携良缘）	5	{4,8,12,2,1}		4	1	{100,226}	{1,226}			142100019		142100020		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]				{{4,15,1,2},{19,10,3,2}}	8		{637,857,813}	584	
9	1006				com.kingsoft.bundle108	com.kingsoft.bundle108	com.kingsoft.bundle108	捆绑包（里芙-无限之视-爱意凝晶+互动情景+武器皮）	5	{4,8,3,1,1}		4	1	{100,226}	{1,226}			1601112		1601113		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					9		{619,803,850}	585	1
9	1007				com.kingsoft.bundle109	com.kingsoft.bundle109	com.kingsoft.bundle109	捆绑包（芬妮-辉耀-绽于恋时+互动情景+武器皮）	5	{4,8,4,1,1}		4	1	{100,226}	{1,226}			1601116		1601117		83.5	[202601290400]	[202603120400]	[202601290400]	[202603120400]					10		{620,804,851}	586	1
9	1049				com.kingsoft.bundle40	com.kingsoft.bundle40	com.kingsoft.bundle40	捆绑包（芬妮-澄意【颂夜欢歌】+武器皮）	5	{4,8,40,1,1}		4	1	{100,156}	{1,156}			1601232		1601233		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					11		{666,841}	587	
9	1045				com.kingsoft.bundle48	com.kingsoft.bundle48	com.kingsoft.bundle48	捆绑包（凯茜娅【狂诗】-花间蝶踪+武器皮）	5	{4,8,37,1,1}		4	1	{100,156}	{1,156}			142900013		142900014		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					12		{663,838}	588	
9	1037				com.kingsoft.bundle67	com.kingsoft.bundle67	com.kingsoft.bundle67	捆绑包（肴-夜天光-共待曙明+武器皮）	5	{4,8,29,1,1}		4	1	{100,156}	{1,156}			142100032		142100033		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					13		{654,831}	589	
9	1033				com.kingsoft.bundle80	com.kingsoft.bundle80	com.kingsoft.bundle80	捆绑包（恩雅-澜风-秘密侍奉+武器皮）	5	{4,8,25,1,1}		4	1	{100,156}	{1,156}			142300075		142300076		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					14		{650,827}	590	
9	1028				com.kingsoft.bundle81	com.kingsoft.bundle81	com.kingsoft.bundle81	捆绑包（薇蒂雅-天鹅座-云端之邀+武器皮）	5	{4,8,20,1,1}		4	1	{100,156}	{1,156}			142200033		142200034		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					15		{645,822}	591	
9	1030				com.kingsoft.bundle82	com.kingsoft.bundle82	com.kingsoft.bundle82	捆绑包（辰星-琼弦-慵倚花阴+武器皮）	5	{4,8,22,1,1}		4	1	{100,156}	{1,156}			142800013		142800014		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					16		{647,824}	592	
9	1026				com.kingsoft.bundle83	com.kingsoft.bundle83	com.kingsoft.bundle83	捆绑包（凯茜娅-朝翼-绮锦流韵+武器皮）	5	{4,8,19,1,1}		4	1	{100,156}	{1,156}			142500035		142500036		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					17		{644,820}	593	
9	1021				com.kingsoft.bundle84	com.kingsoft.bundle84	com.kingsoft.bundle84	捆绑包（恩雅-澜风-望云清咏+聆听本真）	5	{4,8,14,1,1}		4	1	{100,156}	{1,156}			142300055		142300056		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					18		{639,815}	594	
9	1019				com.kingsoft.bundle110	com.kingsoft.bundle110	com.kingsoft.bundle110	捆绑包（芬妮-辉耀-金狮舞瑞+武器皮）	5	{4,8,13,1,1}		4	1	{100,156}	{1,156}			142500025		142500026		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					19		{638,814}	595	
9	1015				com.kingsoft.bundle111	com.kingsoft.bundle111	com.kingsoft.bundle111	捆绑包（琴诺-悖谬-清荷雅弈+融月流金）	5	{4,8,9,1,1}		4	1	{100,156}	{1,156}			142100004		142100003		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					20		{634,810}	596	
																																			
11	864				com.kingsoft.bundle112	com.kingsoft.bundle112	com.kingsoft.bundle112	互动情景·安卡希雅恒约	5	{19,1,3,2,1}		4	1	{100,70}	{1,70}			1601265	1601267	1601266		86			[202601290400]	[202603120400]					1				
11	865				com.kingsoft.bundle113	com.kingsoft.bundle113	com.kingsoft.bundle113	互动情景·茉莉安恒约	5	{19,5,4,2,1}		4	1	{100,70}	{1,70}			1601268	1601270	1601269		86			[202602121000]	[202603120400]					2				
11	859				com.kingsoft.bundle69	com.kingsoft.bundle69	com.kingsoft.bundle69	互动情景·星澜恒约	5	{19,15,3,2,1}		4	1	{100,70}	{1,70}			1601185	1601187	1601186		86			[202601290400]	[202603120400]					3				
11	860				com.kingsoft.bundle70	com.kingsoft.bundle70	com.kingsoft.bundle70	互动情景·光馨恒约	5	{19,17,2,2,1}		4	1	{100,70}	{1,70}			1601193	1601195	1601194		86			[202601290400]	[202603120400]					4				
11	855				com.kingsoft.bundle54	com.kingsoft.bundle54	com.kingsoft.bundle54	互动情景·红妆恒约	5	{19,14,3,2,1}		4	1	{100,70}	{1,70}			1601157	1601156	1601158		86			[202601290400]	[202603120400]					5				1
11	857				com.kingsoft.bundle63	com.kingsoft.bundle63	com.kingsoft.bundle63	互动情景·暖夜恒约	5	{19,10,3,2,1}		4	1	{100,70}	{1,70}			1601167	1601166	1601165		86			[202601290400]	[202603120400]				{{4,15,1,2}}	6				
11	850				com.kingsoft.bundle21	com.kingsoft.bundle21	com.kingsoft.bundle21	互动情景·爱凝恒约	5	{19,2,3,2,1}		4	1	{100,70}	{1,70}			1601115	1601114	1601120		86			[202601290400]	[202603120400]					7				1
11	851				com.kingsoft.bundle22	com.kingsoft.bundle22	com.kingsoft.bundle22	互动情景·恋绽恒约	5	{19,8,3,2,1}		4	1	{100,70}	{1,70}			1601119	1601118	1601121		86			[202601290400]	[202603120400]					8				1
																																			
10	842				com.kingsoft.bundle59	com.kingsoft.bundle59	com.kingsoft.bundle59	安卡希雅-时之重奏-缘音回响枪皮	5	{17,10,1,1,1}		4	1	{100,28}	{1,28}			143000005		143000004		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					1			576	
10	843				com.kingsoft.bundle61	com.kingsoft.bundle61	com.kingsoft.bundle61	茉莉安-霄鹰-纯白恋羽枪皮	5	{17,1,7,1,1}		4	1	{100,28}	{1,28}			142100074		142100073		72	[202602121000]	[202603120400]	[202602121000]	[202603120400]					2			577	
10	844				com.kingsoft.bundle60	com.kingsoft.bundle60	com.kingsoft.bundle60	瑟瑞斯-悠游-霄倾君怀枪皮	5	{17,4,6,1,1}		4	1	{100,28}	{1,28}			142400054		142400053		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					3			578	
10	845				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	米娅-星彩-祥云徜戏枪皮	5	{17,3,11,1,1}		4	1	{100,28}	{1,28}			142300104		142300103		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4			579	
10	825				com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	千雪诉情（武器皮肤）	5	{17,9,1,1,1}		4	1	{100,28}	{1,28}			142900005		142900004		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5			581	
10	826				com.kingsoft.bundle30	com.kingsoft.bundle30	com.kingsoft.bundle30	白纱奏鸣（武器皮肤）	5	{17,5,6,1,1}		4	1	{100,28}	{1,28}			142500064		142500063		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6			582	
10	812				com.kingsoft.bundle31	com.kingsoft.bundle31	com.kingsoft.bundle31	终古比翼（武器皮肤）	5	{17,8,1,1,1}		4	1	{100,28}	{1,28}			142800005		142800004		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					7			583	
10	813				com.kingsoft.bundle85	com.kingsoft.bundle85	com.kingsoft.bundle85	春携良缘（武器皮肤）	5	{17,1,2,1,1}		4	1	{100,28}	{1,28}			142100014		142100013		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					8			584	
10	803				com.kingsoft.bundle86	com.kingsoft.bundle86	com.kingsoft.bundle86	恒冰眷侣（武器皮肤）	5	{17,7,1,1,1}		4	1	{100,28}	{1,28}			142700005		142700004		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					9			585	1
10	804				com.kingsoft.bundle87	com.kingsoft.bundle87	com.kingsoft.bundle87	恋染花途（武器皮肤）	5	{17,5,1,1,1}		4	1	{100,28}	{1,28}			142500005		142500004		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					10			586	1
10	841				com.kingsoft.bundle88	com.kingsoft.bundle88	com.kingsoft.bundle88	冬愿银装（武器皮肤）	5	{17,1,6,1,1}		4	1	{100,28}	{1,28}			142100064		142100063		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					11			587	
10	838				com.kingsoft.bundle89	com.kingsoft.bundle89	com.kingsoft.bundle89	幻蝶之引（武器皮肤）	5	{17,9,2,1,1}		4	1	{100,28}	{1,28}			142900018		142900017		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					12			588	
10	831				com.kingsoft.bundle90	com.kingsoft.bundle90	com.kingsoft.bundle90	忠诚之勋（武器皮肤）	5	{17,1,3,1,1}		4	1	{100,28}	{1,28}			142100031		142100030		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					13			589	
10	827				com.kingsoft.bundle91	com.kingsoft.bundle91	com.kingsoft.bundle91	午夜轻触（武器皮肤）	5	{17,3,8,1,1}		4	1	{100,28}	{1,28}			142300074		142300073		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					14			590	
10	822				com.kingsoft.bundle92	com.kingsoft.bundle92	com.kingsoft.bundle92	爱彻青空（武器皮肤）	5	{17,2,3,1,1}		4	1	{100,28}	{1,28}			142200038		142200037		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					15			591	
10	824				com.kingsoft.bundle93	com.kingsoft.bundle93	com.kingsoft.bundle93	灵跃心弦（武器皮肤）	5	{17,8,2,1,1}		4	1	{100,28}	{1,28}			142800018		142800017		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					16			592	
10	820				com.kingsoft.bundle119	com.kingsoft.bundle119	com.kingsoft.bundle119	游云焕绮（武器皮肤）	5	{17,5,4,1,1}		4	1	{100,28}	{1,28}			142500034		142500033		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					17			593	
10	815				com.kingsoft.bundle120	com.kingsoft.bundle120	com.kingsoft.bundle120	聆听本真（武器皮肤）	5	{17,3,5,1,1}		4	1	{100,28}	{1,28}			142300054		142300053		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					18			594	
10	814				com.kingsoft.bundle121	com.kingsoft.bundle121	com.kingsoft.bundle121	耀舞迎春（武器皮肤）	5	{17,5,3,1,1}		4	1	{100,28}	{1,28}			142500024		142500023		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					19			595	
10	810				com.kingsoft.bundle122	com.kingsoft.bundle122	com.kingsoft.bundle122	融月流金（武器皮肤）	5	{17,1,1,1,1}		4	1	{100,28}	{1,28}			142100008		142100007		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					20			596	
																																			
12	905				com.kingsoft.bundle68	com.kingsoft.bundle68	com.kingsoft.bundle68	慵倚花阴部件自选	5		4			{100,10}	{1,10}		ui.TxtFashionMall14	142800019		142800020							[202601290400]	[202603120400]			1				
12	903				com.kingsoft.bundle19	com.kingsoft.bundle19	com.kingsoft.bundle19	点墨化龙部件自选	5		2			{100,10}	{1,10}		ui.TxtFashionMall14	1601125		1601124							[202601290400]	[202603120400]			2				1
																																			
4	661				com.kingsoft.bundle49	com.kingsoft.bundle49	com.kingsoft.bundle49	米娅【星彩】-暗空魅影（皮肤）	5	{7,23,1,2,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4				
4	662				com.kingsoft.bundle44	com.kingsoft.bundle44	com.kingsoft.bundle44	晴【霆光】-清光虔愿（皮肤带部件）	5	{7,6,3,2,1}	5	4	1	{100,128}	{1,128}			1601226		1601227		77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5				
4	652				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	克罗瑞娜-绯月-皎月幽祈（皮肤）	5	{7,22,1,2,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6				
																																			
9	1043				com.kingsoft.bundle83	com.kingsoft.bundle83	com.kingsoft.bundle83	捆绑包（米娅【星彩】-暗空魅影+武器皮）	5	{4,8,35,1,1}		4	1	{100,156}	{1,156}			142300093		142300094		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4		{661,836}	614	
9	1044				com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	捆绑包（晴【霆光】-清光虔愿+部件+武器皮）	5	{4,8,36,1,1}	5	4	1	{100,156}	{1,156}			1601224		1601225		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5		{662,837}	617	
9	1035				com.kingsoft.bundle84	com.kingsoft.bundle84	com.kingsoft.bundle84	捆绑包（克罗瑞娜-绯月-皎月幽祈+武器皮）	5	{4,8,27,1,1}		4	1	{100,156}	{1,156}			142100042		142100043		76	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6		{652,829}	615	
																																			
10	836				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	迅焰溢彩（武器皮肤）	5	{17,3,10,1,1}		4	1	{100,28}	{1,28}			142300098		142300097		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4			614	
10	837				com.kingsoft.bundle30	com.kingsoft.bundle30	com.kingsoft.bundle30	红居覆霜（武器皮肤）	5	{17,5,8,1,1}		4	1	{100,28}	{1,28}			142500084		142500083		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5			617	
10	829				com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	铂金密信（武器皮肤）	5	{17,1,4,1,1}		4	1	{100,28}	{1,28}			142100041		142100040		72	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6			615	
																																			
12	906				com.kingsoft.bundle103	com.kingsoft.bundle103	com.kingsoft.bundle103	清光虔愿-部件自选	5		5			{100,10}	{1,10}		ui.TxtFashionMall14	1601226		1601227							[202601290400]	[202603120400]			2				
																																			
																																			
																																			
3	566				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	春意·每周天启者聘任包	4	{4,5,6,258,1}		2	1	{100,16}	{1,16}										[202605080400]	[202606190400]					1				
3	567				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	春意·天启者聘任包	4	{4,5,6,259,1}		4	1	{100,128}	{1,128}										[202605080400]	[202606190400]					2				
3	568				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	春意·武器定制包	4	{4,5,6,260,1}		4	1	{100,128}	{1,128}										[202605080400]	[202606190400]					3				
3	569				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	春意·豪华物资包	4	{4,5,6,261,1}		4	1	{100,228}	{1,228}										[202605080400]	[202606190400]					4				
3	570				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	春意·成长资金包	4	{4,5,6,262,1}		4	1	{100,68}	{1,68}										[202605080400]	[202606190400]					5				
3	571				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	春意·神经突破包	4	{4,5,6,263,1}		4	1	{100,68}	{1,68}										[202605080400]	[202606190400]					6				
3	572				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	春意·等级提升包	4	{4,5,6,264,1}		4	1	{100,38}	{1,38}										[202605080400]	[202606190400]					7				
3	573				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	春意·神经通导包	4	{4,5,6,265,1}		4	1	{100,38}	{1,38}										[202605080400]	[202606190400]					8				
3	574				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	春意·后勤提升包	4	{4,5,6,266,1}		4	1	{100,32}	{1,32}										[202605080400]	[202606190400]					9				
																																			
4	671				com.kingsoft.bundle43	com.kingsoft.bundle43	com.kingsoft.bundle43	胧嫣-瑞狐【珠光曳影】（皮肤）	5	{7,24,1,2,1}		4	1	{100,128}	{1,128}							77	[202605080400]	[202606190400]	[202605080400]	[202606190400]					1				
4	672				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	芙提雅-炬芯【国主驾到】（皮肤）	5	{7,4,4,2,1}		4	1	{100,128}	{1,128}							77	[202605221000]	[202606190400]	[202605221000]	[202606190400]					2				
4	673				com.kingsoft.bundle38	com.kingsoft.bundle38	com.kingsoft.bundle38	晴-霆光【剑意逍遥】（皮肤）	5	{7,6,3,3,1}		4	1	{100,128}	{1,128}							77	[202605080400]	[202606190400]	[202605080400]	[202606190400]					3				
																																			
9	1054				com.kingsoft.bundle80	com.kingsoft.bundle80	com.kingsoft.bundle80	捆绑包（胧嫣-瑞狐【珠光曳影】+武器皮）	5	{4,8,45,1,1}		4	1	{100,156}	{1,156}			1601281		1601282		76	[202605080400]	[202606190400]	[202605080400]	[202606190400]					1		{671,846}	608	
9	1055				com.kingsoft.bundle81	com.kingsoft.bundle81	com.kingsoft.bundle81	捆绑包（芙提雅-炬芯【国主驾到】+武器皮）	5	{4,8,46,1,1}		4	1	{100,156}	{1,156}			1601275		1601276		76	[202605221000]	[202606190400]	[202605221000]	[202606190400]					2		{672,847}	609	
9	1056				com.kingsoft.bundle82	com.kingsoft.bundle82	com.kingsoft.bundle82	捆绑包（晴-霆光【剑意逍遥】+武器皮）	5	{4,8,47,1,1}		4	1	{100,156}	{1,156}			1601279		1601280		76	[202605080400]	[202606190400]	[202605080400]	[202606190400]					3		{673,848}	610	
																																			
10	846				com.kingsoft.bundle59	com.kingsoft.bundle59	com.kingsoft.bundle59	魅银华饰（武器皮肤）	5	{17,7,3,1,1}		4	1	{100,28}	{1,28}			142700024		142700023		72	[202605080400]	[202606190400]	[202605080400]	[202606190400]					1			608	
10	847				com.kingsoft.bundle61	com.kingsoft.bundle61	com.kingsoft.bundle61	龙吟威光（武器皮肤）	5	{17,4,7,1,1}		4	1	{100,28}	{1,28}			142400064		142400063		72	[202605221000]	[202606190400]	[202605221000]	[202606190400]					2			609	
10	848				com.kingsoft.bundle60	com.kingsoft.bundle60	com.kingsoft.bundle60	云游青霄（武器皮肤）	5	{17,5,9,1,1}		4	1	{100,28}	{1,28}			142500094		142500093		72	[202605080400]	[202606190400]	[202605080400]	[202606190400]					3			610	
																																			
12	908							芙提雅-炬芯【国主驾到】-头套部件	5	{20,2,6,2,1}		4	1		{2,10}	100		1601277		1601278		1					[202605221000]	[202606190400]			1				
